1,25,1,91107,4,No,No,1,1,undergraduate,Yes,No,1.6
2,45,19,90089,3,No,No,1,1,undergraduate,Yes,No,1.5
3,39,15,94720,1,No,No,1,1,undergraduate,No,No,1
4,35,9,94112,1,No,No,1,2,graduate,No,No,2.7
5,35,8,91330,4,No,Yes,1,2,graduate,No,No,1
6,37,13,92121,4,No,No,68,2,graduate,No,No,0.4
7,53,27,91711,2,No,No,1,2,graduate,No,No,1.5
8,50,24,93943,1,No,Yes,1,3,advance,No,No,0.3
9,35,10,90089,3,No,No,26,2,graduate,No,No,0.6
10,34,9,93023,1,Yes,No,1,3,advance,No,No,8.9
11,65,39,94710,4,No,No,1,3,advance,No,No,2.4
12,29,5,90277,3,No,No,1,2,graduate,No,No,0.1
13,48,23,93106,2,No,No,1,3,advance,Yes,No,3.8
14,59,32,94920,4,No,No,1,2,graduate,No,No,2.5
15,67,41,91741,1,No,No,1,1,undergraduate,Yes,No,2
16,60,30,95054,1,No,Yes,1,3,advance,No,No,1.5
17,38,14,95010,4,Yes,No,52,3,advance,No,No,4.7
18,42,18,94305,4,No,No,1,1,undergraduate,No,No,2.4
19,46,21,91604,2,Yes,No,1,3,advance,No,No,8.1
20,55,28,94720,1,No,Yes,1,2,graduate,Yes,No,0.5
21,56,31,94015,4,No,No,32,2,graduate,No,No,0.9
22,57,27,90095,3,No,No,1,3,advance,No,No,2
23,29,5,90277,1,No,No,126,1,undergraduate,No,No,1.2
24,44,18,91320,2,No,No,76,1,undergraduate,Yes,No,0.7
25,36,11,95521,2,No,Yes,72,1,undergraduate,No,No,3.9
26,43,19,94305,3,No,No,20,1,undergraduate,No,No,0.5
27,40,16,95064,4,No,No,1,3,advance,No,No,0.2
28,46,20,90064,1,No,Yes,1,1,undergraduate,No,No,2.4
29,56,30,94539,1,No,Yes,1,3,advance,No,No,2.2
30,38,13,94104,1,Yes,Yes,1,2,graduate,No,Yes,3.3
31,59,35,93106,1,No,No,41,3,advance,No,No,1.2
32,40,16,94117,1,No,No,1,2,graduate,No,No,2
33,53,28,94801,2,No,No,94,3,advance,No,No,0.6
34,30,6,91330,3,No,No,1,3,advance,No,No,0.9
35,31,5,94035,4,No,No,1,3,advance,No,No,1.8
36,48,24,92647,3,No,No,1,1,undergraduate,No,No,0.7
37,59,35,94720,1,No,Yes,1,1,undergraduate,No,No,2.9
38,51,25,95814,1,No,No,96,3,advance,No,No,1.4
39,42,18,94114,3,Yes,No,1,3,advance,Yes,Yes,5
40,38,13,94115,4,No,No,137,3,advance,No,No,0.7
41,57,32,92672,3,No,No,1,3,advance,Yes,No,1.6
42,34,9,94122,3,No,No,1,1,undergraduate,No,No,2.3
43,32,7,90019,4,Yes,No,165,2,graduate,No,No,1.1
44,39,15,95616,1,No,No,1,1,undergraduate,No,No,0.7
45,46,20,94065,1,No,Yes,1,1,undergraduate,No,No,5.7
46,57,31,94720,4,No,Yes,1,1,undergraduate,No,No,2.5
47,39,14,95014,3,No,No,67,2,graduate,No,No,0.7
48,37,12,91380,4,Yes,Yes,103,3,advance,Yes,Yes,0.2
49,56,26,95747,2,No,Yes,1,3,advance,No,No,4.5
50,40,16,92373,1,No,Yes,1,1,undergraduate,No,No,1.8
51,32,8,92093,4,No,No,1,2,graduate,Yes,No,0.7
52,61,37,94720,1,No,No,1,1,undergraduate,No,No,2.9
53,30,6,94005,1,No,No,100,1,undergraduate,No,No,0.1
54,50,26,90245,3,Yes,No,116,3,advance,No,No,2.1
55,29,5,95819,1,No,No,1,3,advance,No,No,0.2
56,41,17,94022,2,No,No,1,1,undergraduate,No,No,8
57,55,30,94005,3,No,No,1,2,graduate,Yes,Yes,0.1
58,56,31,95616,2,Yes,No,1,3,advance,No,No,1.2
59,28,2,94065,2,No,No,1,1,undergraduate,No,No,0.2
60,31,5,91320,2,No,No,168,1,undergraduate,No,No,4.5
61,49,24,90404,3,No,No,1,2,graduate,Yes,No,1.7
62,47,21,93407,1,No,No,33,1,undergraduate,Yes,No,5.7
63,42,18,90089,1,No,No,1,1,undergraduate,No,No,1
64,42,17,94523,4,No,No,1,2,graduate,No,No,0
65,47,23,90024,2,No,No,1,1,undergraduate,No,No,3.3
66,59,35,91360,1,No,Yes,1,1,undergraduate,No,No,3.8
67,62,36,95670,2,No,No,155,1,undergraduate,No,No,2.8
68,53,23,95123,4,No,No,50,3,advance,Yes,No,2
69,47,21,93407,3,No,Yes,1,1,undergraduate,No,No,2.1
70,53,29,90045,4,No,No,1,1,undergraduate,No,No,0.2
71,42,18,91335,1,No,Yes,1,1,undergraduate,No,No,3.5
72,53,29,93907,4,No,No,1,2,graduate,No,No,1
73,44,20,92007,1,No,Yes,1,1,undergraduate,No,No,5
74,41,16,94606,1,No,Yes,1,3,advance,No,No,4
75,28,3,94611,2,No,Yes,1,1,undergraduate,No,No,3.3
76,31,7,94901,4,Yes,Yes,1,2,graduate,No,Yes,3.8
77,58,32,91320,3,No,No,1,3,advance,No,No,0.3
78,46,20,92220,3,No,No,1,2,graduate,No,No,0.5
79,54,30,93305,2,Yes,No,1,3,advance,No,No,2.6
80,50,26,94720,2,No,No,38,1,undergraduate,No,No,0.4
81,60,36,95134,4,No,Yes,83,1,undergraduate,No,No,1.3
82,47,22,94612,3,No,No,1,2,graduate,No,No,2.7
83,41,16,92507,1,No,No,1,3,advance,No,No,4
84,33,9,94305,1,No,No,1,2,graduate,No,No,2.4
85,46,22,91730,1,No,No,1,3,advance,No,No,0.9
86,27,2,94005,4,No,No,1,3,advance,No,No,1.8
87,40,16,94501,4,No,No,45,2,graduate,No,No,2.2
88,48,22,94305,3,No,No,1,1,undergraduate,No,No,1.1
89,65,41,94117,2,No,No,1,1,undergraduate,No,No,1.1
