34,49
23,34
4,11
75,100
32,45
18,29
53,72
13,22
60,81
139,180
80,105
87,114
27,40
85,112
99,130
150,193
12,21
16,25
46,63
45,62
30,43
117,152
62,83
121,158
33,48
90,119
24,35
28,41
9,18
35,50
92,121
52,71
108,141
59,80
63,84
43,60
101,132
79,104
37,52
151,194
1,8
100,131
147,190
31,44
106,139
70,93
145,188
26,39
96,125
21,32
11,20
88,115
50,69
64,85
104,135
5,12
102,133
10,19
61,82
82,109
29,42
57,78
36,51
86,113
89,118
47,64
124,161
71,94
8,15
55,74
19,30
25,38
2,9
69,92
44,61
54,73
51,70
114,149
73,98
97,128
20,31
41,58
39,54
95,124
126,163
15,24
58,79
103,134
14,23
6,13
105,138
132,171
129,168
48,65
3,10
113,148
122,159
130,169
111,144
128,165
42,59
49,68
68,91
133,172
40,55
120,155
38,53
66,89
17,28
56,75
131,170
91,120
74,99
84,111
22,33
98,129
93,122
115,150
152,195
83,110
76,101
148,191
107,140
118,153
134,173
135,174
67,90
138,179
112,145
155,200
142,183
141,182
65,88
123,160
160,205
127,164
7,14
136,175
78,103
81,108
144,185
159,204
119,154
77,102
149,192
157,202
125,162
109,142
72,95
143,184
140,181
110,143
94,123
137,178
153,198
156,201
158,203
146,189
116,151
154,199
162,224
161,218
